iter  1190 | reward +0.801 | regret[first10] 0.724 -> regret[last10] 0.670 | policy_loss +0.0023 | entropy 0.216 | entropy_coef 0.0037
iter  1200 | reward +0.740 | regret[first10] 0.701 -> regret[last10] 0.693 | policy_loss +0.0013 | entropy 0.285 | entropy_coef 0.0036
iter  1210 | reward +0.737 | regret[first10] 0.760 -> regret[last10] 0.663 | policy_loss +0.0022 | entropy 0.266 | entropy_coef 0.0036
iter  1220 | reward +0.631 | regret[first10] 0.716 -> regret[last10] 0.730 | policy_loss +0.0026 | entropy 0.308 | entropy_coef 0.0035
iter  1230 | reward +0.686 | regret[first10] 0.758 -> regret[last10] 0.697 | policy_loss +0.0015 | entropy 0.342 | entropy_coef 0.0034
iter  1240 | reward +0.722 | regret[first10] 0.724 -> regret[last10] 0.742 | policy_loss +0.0012 | entropy 0.344 | entropy_coef 0.0034
iter  1250 | reward +0.709 | regret[first10] 0.758 -> regret[last10] 0.731 | policy_loss +0.0012 | entropy 0.344 | entropy_coef 0.0033
iter  1260 | reward +0.632 | regret[first10] 0.898 -> regret[last10] 0.797 | policy_loss +0.0011 | entropy 0.344 | entropy_coef 0.0032
iter  1270 | reward +0.672 | regret[first10] 0.712 -> regret[last10] 0.747 | policy_loss +0.0027 | entropy 0.307 | entropy_coef 0.0032
iter  1280 | reward +0.653 | regret[first10] 0.755 -> regret[last10] 0.740 | policy_loss +0.0005 | entropy 0.327 | entropy_coef 0.0031
iter  1290 | reward +0.648 | regret[first10] 0.687 -> regret[last10] 0.707 | policy_loss +0.0009 | entropy 0.293 | entropy_coef 0.0031
iter  1300 | reward +0.644 | regret[first10] 0.773 -> regret[last10] 0.842 | policy_loss +0.0019 | entropy 0.336 | entropy_coef 0.0030
iter  1310 | reward +0.548 | regret[first10] 0.670 -> regret[last10] 0.846 | policy_loss +0.0030 | entropy 0.314 | entropy_coef 0.0029
iter  1320 | reward +0.538 | regret[first10] 0.745 -> regret[last10] 0.852 | policy_loss +0.0063 | entropy 0.335 | entropy_coef 0.0029
iter  1330 | reward +0.539 | regret[first10] 0.866 -> regret[last10] 0.875 | policy_loss +0.0035 | entropy 0.362 | entropy_coef 0.0028
